INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\9c\2c30ad8034e6620335d3f2692c5a397d425bc8, Name=2c30ad8034e6620335d3f2692c5a397d425bc8, size=196, date=2017-11-23 16:37:10
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\a7, Name=a7, size=0, date=2017-11-30 14:05:43
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\a7\e91f0244ea4095fd506efee8e118052e44b6ac, Name=e91f0244ea4095fd506efee8e118052e44b6ac, size=394, date=2017-11-30 14:05:43
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\b1, Name=b1, size=0, date=2017-11-30 13:52:03
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\b1\e93567addc79091af3179d06221033ca59e641, Name=e93567addc79091af3179d06221033ca59e641, size=166, date=2017-11-30 13:52:03
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\b2, Name=b2, size=0, date=2017-11-30 14:05:30
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\b2\5b5c609723834c243c475968aac44e31235a66, Name=5b5c609723834c243c475968aac44e31235a66, size=28, date=2017-11-30 14:05:30
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\c9, Name=c9, size=0, date=2017-11-30 13:58:20
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\c9\f65c819aafd7cfe981c27267196fe542e3cc53, Name=f65c819aafd7cfe981c27267196fe542e3cc53, size=167, date=2017-11-30 13:58:20
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\cc, Name=cc, size=0, date=2017-11-23 16:41:38
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\cc\26aa2ac4696fdf3b704f2a5b3dde5a0fde6281, Name=26aa2ac4696fdf3b704f2a5b3dde5a0fde6281, size=194, date=2017-11-23 16:41:38
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\d3, Name=d3, size=0, date=2017-11-30 13:51:57
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\d3\6dcc4feec364c2ddfd7a322ee9337f1bcf24dc, Name=6dcc4feec364c2ddfd7a322ee9337f1bcf24dc, size=91, date=2017-11-30 14:05:30
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\d5, Name=d5, size=0, date=2017-11-30 13:58:01
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\d5\352022530b9fe6a1f5b8e701ad745e0d65ab8d, Name=352022530b9fe6a1f5b8e701ad745e0d65ab8d, size=160, date=2017-11-30 13:58:01
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\d6, Name=d6, size=0, date=2017-11-23 16:37:16
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\d6\01bba98583543bc583f2338e7fa12cd7183874, Name=01bba98583543bc583f2338e7fa12cd7183874, size=120, date=2017-11-23 16:37:16
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\d7, Name=d7, size=0, date=2017-11-30 14:05:54
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\d7\28082142f6692add9c9b29cc50b1bbe4e31c7d, Name=28082142f6692add9c9b29cc50b1bbe4e31c7d, size=157, date=2017-11-30 14:05:54
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\e3, Name=e3, size=0, date=2017-11-30 13:58:20
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\e3\8ad20e4cf660f6ef10bc46c2ae5f97ea576302, Name=8ad20e4cf660f6ef10bc46c2ae5f97ea576302, size=59, date=2017-11-30 13:58:20
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\e6, Name=e6, size=0, date=2017-11-30 13:57:36
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\e6\9de29bb2d1d6434b8b29ae775ad8c2e48c5391, Name=9de29bb2d1d6434b8b29ae775ad8c2e48c5391, size=15, date=2017-11-30 14:05:43
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\e8, Name=e8, size=0, date=2017-11-23 14:25:10
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\e8\0de4b34fd00824d1cae0be3cad0d5759426715, Name=0de4b34fd00824d1cae0be3cad0d5759426715, size=88, date=2017-11-23 14:25:10
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\ea, Name=ea, size=0, date=2017-11-30 14:05:44
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\ea\d252b6c4127600405ee4406b1adb743aec8e8d, Name=d252b6c4127600405ee4406b1adb743aec8e8d, size=833, date=2017-11-30 14:05:44
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\f2, Name=f2, size=0, date=2017-11-23 16:37:26
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\f2\9d62e7984162483e142644531dbfc19d85f77f, Name=9d62e7984162483e142644531dbfc19d85f77f, size=149, date=2017-11-23 16:37:26
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\f7, Name=f7, size=0, date=2017-11-30 14:05:30
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\f7\6a7fb6ad14dfd7723a87166211fca0508cc953, Name=6a7fb6ad14dfd7723a87166211fca0508cc953, size=209, date=2017-11-30 14:05:30
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\fa, Name=fa, size=0, date=2017-11-23 14:24:59
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\fa\a7458008c57ac0836a702eb1f3eae07b5af034, Name=a7458008c57ac0836a702eb1f3eae07b5af034, size=30, date=2017-11-23 14:24:59
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\fb, Name=fb, size=0, date=2017-11-23 16:37:26
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\fb\f5aaa212e158cc579a8736bb66036eea0a89bd, Name=f5aaa212e158cc579a8736bb66036eea0a89bd, size=159, date=2017-11-23 16:37:26
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\info, Name=info, size=0, date=2017-11-23 14:21:54
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\pack, Name=pack, size=0, date=2017-11-23 14:21:54
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\refs, Name=refs, size=0, date=2017-11-23 14:25:48
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\refs\heads, Name=heads, size=0, date=2017-11-30 14:05:54
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\refs\heads\master, Name=master, size=41, date=2017-11-30 14:05:54
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\refs\remotes, Name=remotes, size=0, date=2017-11-23 14:25:48
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\refs\remotes\origin, Name=origin, size=0, date=2017-11-30 14:06:31
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\refs\tags, Name=tags, size=0, date=2017-11-23 14:21:54
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.idea, Name=.idea, size=4096, date=2017-11-30 14:07:53
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.idea\Anonymous.iml, Name=Anonymous.iml, size=459, date=2017-11-23 14:21:04
